so,m73,(ə-)ˈlʔuːd-ən,ear,,(ə-)ˈlʔuːd-ən,,"pinnow1959versuch[p. 97, item 1319, set V147]",,Pinnow comparative set V147. Linked to Rau m73 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p97.i1319.sV147,,,,
ko,m21,siŋɡel,fire,,siŋɡel,,"pinnow1959versuch[p. 126, item 1439, set V252]",,Pinnow comparative set V252. Linked to Rau m21 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c5.p126.i1439.sV252,,,,
ko,m21,ʃiŋɡal,fire,,ʃiŋɡal,,"pinnow1959versuch[p. 126, item 1439, set V252]",,Pinnow comparative set V252. Linked to Rau m21 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c5.p126.i1439.sV252:v2,pinnow1959versuch:C:c5.p126.i1439.sV252,,,
kw,,siɖha,cloth,,siɖha,,"pinnow1959versuch[p. 157, item 1541, set V323]",,Pinnow comparative set V323.,pinnow1959versuch:C:c12.p157.i1541.sV323,,,,
sa,,siɲ aɽaʔ,a certain tree {Sci.name} Bauhinia variegata,,siɲ aɽaʔ,,"pinnow1959versuch[p. 131, item 1474, set V274]",,Pinnow comparative set V274.,pinnow1959versuch:C:c2.p131.i1474.sV274,,,,
sa,m109,siɽuˀb,"to suck in audibly, to sip",,siɽuˀb,,"pinnow1959versuch[p. 165, item 1584, set V354]",,Pinnow comparative set V354. Linked to Rau m109 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p165.i1584.sV354,,,,
mu,m109,siˀb,to smoke,,siˀb,,"pinnow1959versuch[p. 165, item 1584, set V354]",,Pinnow comparative set V354. Linked to Rau m109 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p165.i1584.sV354,,,,
kh,,siˀɖ,to be lost,,siˀɖ,,"pinnow1959versuch[p. 156, item 1534, set V317]",,Pinnow comparative set V317.,pinnow1959versuch:C:c1.p156.i1534.sV317,,,,
kh,,siˈdiʔ,cotton pod,,siˈdiʔ,,"pinnow1959versuch[p. 158, item 1546, set V327]",,Pinnow comparative set V327.,pinnow1959versuch:C:c1.p158.i1546.sV327,,,,
kh,m42,siˈlɔʔ (ʃiˈlɔʔ),to plow,,siˈlɔʔ (ʃiˈlɔʔ),,"pinnow1959versuch[p. 87, item 1265, set V99]",,Pinnow comparative set V99. Linked to Rau m42 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c1.p87.i1265.sV099,,,,
kh,,siˈniŋ,"border, side (direction)",,siˈniŋ,,"pinnow1959versuch[p. 219, item 214, set K185]",,Pinnow comparative set K185.,pinnow1959versuch:C:c1.p219.i214.sK185,,,,
kh,,siˈraʔ,cloth,,siˈraʔ,,"pinnow1959versuch[p. 157, item 1541, set V323]",,Pinnow comparative set V323.,pinnow1959versuch:C:c1.p157.i1541.sV323,,,,
so,m8,siː-n (C-F),hand,,siː-n (C-F),,"pinnow1959versuch[p. 84, item 1237-1, set V75]",,Pinnow comparative set V75. Linked to Rau m8 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p84.i1237-1.sV075,,,,
re,m26,siː-tɑː,"pain, illness",,siː-tɑː,,"pinnow1959versuch[p. 122, item 1432, set V247]",,Pinnow comparative set V247. Linked to Rau m26 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c10.p122.i1432.sV247,,,,
mu,,soan,"odor, smell, or disagreeable taste",,soan,,"pinnow1959versuch[p. 221, item 224, set K193a]",,Pinnow comparative set K193a.,pinnow1959versuch:C:c4.p221.i224.sK193a,,,,
gu,m29,soktɑːni,I will sweep,,soktɑːni,,"pinnow1959versuch[p. 109, item 1366-1, set V190]",,Pinnow comparative set V190. Linked to Rau m29 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c8.p109.i1366-1.sV190,,,,
gu,m29,soktɑːni,I will sweep,,soktɑːni,,"pinnow1959versuch[p. 109, item 1366-2, set V190]",,Pinnow comparative set V190. Linked to Rau m29 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c8.p109.i1366-2.sV190,,,,
ju,,solok,dog,,solok,,"pinnow1959versuch[p. 112, item 1386, set V210]",,Pinnow comparative set V210.,pinnow1959versuch:C:c11.p112.i1386.sV210,,,,
ko,m107,solor,to slip by the foot,,solor,,"pinnow1959versuch[p. 128, item 1455, set V259]",,Pinnow comparative set V259. Linked to Rau m107 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c5.p128.i1455.sV259,,,,
gu,,som,"to eat, to lose, to suffer, to cost",,som,,"pinnow1959versuch[p. 247, item 357, set K274]",,Pinnow comparative set K274.,pinnow1959versuch:C:c8.p247.i357.sK274,,,,
gu,,soːm,"to eat, to lose, to suffer, to cost",,soːm,,"pinnow1959versuch[p. 247, item 357, set K274]",,Pinnow comparative set K274.,pinnow1959versuch:C:c8.p247.i357.sK274:v2,pinnow1959versuch:C:c8.p247.i357.sK274,,,
re,,somtiŋ,nine,,somtiŋ,,"pinnow1959versuch[p. 172, item 1608, set V372]",,Pinnow comparative set V372.,pinnow1959versuch:C:c10.p172.i1608.sV372,,,,
ju,m21,sonɡon,"firewood, fuel",,sonɡon,,"pinnow1959versuch[p. 126, item 1439, set V252]",,Pinnow comparative set V252. Linked to Rau m21 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c11.p126.i1439.sV252,,,,
kh,,sou,husband,,sou,,"pinnow1959versuch[p. 395, item 1130, set K535]",,Pinnow comparative set K535.,pinnow1959versuch:C:c1.p395.i1130.sK535,,,,
gu,,soŋɡu,to sell,,soŋɡu,,"pinnow1959versuch[p. 224, item 248, set K209]",,Pinnow comparative set K209.,pinnow1959versuch:C:c8.p224.i248.sK209,,,,
gu,,soɡu,to sell,,soɡu,,"pinnow1959versuch[p. 224, item 248, set K209]",,Pinnow comparative set K209.,pinnow1959versuch:C:c8.p224.i248.sK209:v2,pinnow1959versuch:C:c8.p224.i248.sK209,,,
gu,,soŋɡutuni,I will sell,,soŋɡutuni,,"pinnow1959versuch[p. 224, item 248-1, set K209]",,Pinnow comparative set K209.,pinnow1959versuch:C:c8.p224.i248-1.sK209,,,,
gu,m29,soː,to sweep,,soː,,"pinnow1959versuch[p. 109, item 1366, set V190]",,Pinnow comparative set V190. Linked to Rau m29 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c8.p109.i1366.sV190,,,,
gu,m29,sok,to sweep,,sok,,"pinnow1959versuch[p. 109, item 1366, set V190]",,Pinnow comparative set V190. Linked to Rau m29 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c8.p109.i1366.sV190:v2,pinnow1959versuch:C:c8.p109.i1366.sV190,,,
so,,soːd-ən,dog,,soːd-ən,,"pinnow1959versuch[p. 112, item 1386-1, set V210]",,Pinnow comparative set V210.,pinnow1959versuch:C:c3.p112.i1386-1.sV210,,,,
so,,soːr-ən (C-F),dog,,soːr-ən (C-F),,"pinnow1959versuch[p. 112, item 1386-1, set V210]",,Pinnow comparative set V210.,pinnow1959versuch:C:c3.p112.i1386-1.sV210:v2,pinnow1959versuch:C:c3.p112.i1386-1.sV210,,,
gu,,soːl,oil,,soːl,,"pinnow1959versuch[p. 110, item 1374, set V198]",,Pinnow comparative set V198.,pinnow1959versuch:C:c8.p110.i1374.sV198,,,,
so,,soːrɑː-boːɟ-ən,Sora woman,,soːrɑː-boːɟ-ən,,"pinnow1959versuch[p. 267, item 475-1, set K349]",,Pinnow comparative set K349.,pinnow1959versuch:C:c3.p267.i475-1.sK349,,,,
gu,,soːssoː,sour,,soːssoː,,"pinnow1959versuch[p. 174, item 1621, set V383]",,Pinnow comparative set V383.,pinnow1959versuch:C:c8.p174.i1621.sV383,,,,
gu,,susokɑː,sour,,susokɑː,,"pinnow1959versuch[p. 174, item 1621, set V383]",,Pinnow comparative set V383.,pinnow1959versuch:C:c8.p174.i1621.sV383:v2,pinnow1959versuch:C:c8.p174.i1621.sV383,,,
kh,,su (ʃu),to put on (clothes),,su (ʃu),,"pinnow1959versuch[p. 90, item 1270, set V104]",,Pinnow comparative set V104.,pinnow1959versuch:C:c1.p90.i1270.sV104,,,,
ko,,su-ki-n,to smell,,su-ki-n,,"pinnow1959versuch[p. 221, item 224, set K193a]",,Pinnow comparative set K193a.,pinnow1959versuch:C:c5.p221.i224.sK193a,,,,
gu,m10,su-suːŋ-ən,"foot, leg",,su-suːŋ-ən,,"pinnow1959versuch[p. 169, item 1600, set V365]",,Pinnow comparative set V365. Linked to Rau m10 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c8.p169.i1600.sV365,,,,
kh,,sul,to crow,,sul,,"pinnow1959versuch[p. 91, item 1276, set V110]",,Pinnow comparative set V110.,pinnow1959versuch:C:c1.p91.i1276.sV110,,,,
gu,m63,suloi,belly,,suloi,,"pinnow1959versuch[p. 248, item 368, set K282]",,Pinnow comparative set K282. Linked to Rau m63 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c8.p248.i368.sK282,,,,
re,m63,suloi,belly,,suloi,,"pinnow1959versuch[p. 248, item 368, set K282]",,Pinnow comparative set K282. Linked to Rau m63 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c10.p248.i368.sK282,,,,
re,,sum,"to eat, to lose, to suffer, to cost",,sum,,"pinnow1959versuch[p. 247, item 357, set K274]",,Pinnow comparative set K274.,pinnow1959versuch:C:c10.p247.i357.sK274,,,,
gu,m38,sumoːŋ,before,,sumoːŋ,,"pinnow1959versuch[p. 131, item 1468, set V269]",,Pinnow comparative set V269. Linked to Rau m38 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c8.p131.i1468.sV269,,,,
so,m109,sumˈrub,to suck with noise,,sumˈrub,,"pinnow1959versuch[p. 165, item 1584-1, set V354]",,Pinnow comparative set V354. Linked to Rau m109 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p165.i1584-1.sV354,,,,
Birhor,,sunum,oil,,sunum,,"pinnow1959versuch[p. 93, item 1285, set V119]",,Pinnow comparative set V119.,pinnow1959versuch:C:c7.p93.i1285.sV119,,,,
ho,,sunum,oil,,sunum,,"pinnow1959versuch[p. 93, item 1285, set V119]",,Pinnow comparative set V119.,pinnow1959versuch:C:c6.p93.i1285.sV119,,,,
sa,,sunum,oil,,sunum,,"pinnow1959versuch[p. 93, item 1285, set V119]",,Pinnow comparative set V119.,pinnow1959versuch:C:c2.p93.i1285.sV119,,,,
mu,,sunum,oil,,sunum,,"pinnow1959versuch[p. 93, item 1285, set V119]",,Pinnow comparative set V119.,pinnow1959versuch:C:c4.p93.i1285.sV119,,,,
mu,,sunuŋ,oil,,sunuŋ,,"pinnow1959versuch[p. 93, item 1285, set V119]",,Pinnow comparative set V119.,pinnow1959versuch:C:c4.p93.i1285.sV119:v2,pinnow1959versuch:C:c4.p93.i1285.sV119,,,
Birhor,,supli,upper part of the foot excluding the toes,,supli,,"pinnow1959versuch[p. 95, item 1306, set V134]",,Pinnow comparative set V134.,pinnow1959versuch:C:c7.p95.i1306.sV134,,,,
mu,,supu,upper arm (from the elbow to the shoulder),,supu,,"pinnow1959versuch[p. 95, item 1306, set V134]",,Pinnow comparative set V134.,pinnow1959versuch:C:c4.p95.i1306.sV134,,,,
gu,m21,suŋɡol,fire,,suŋɡol,,"pinnow1959versuch[p. 126, item 1439, set V252]",,Pinnow comparative set V252. Linked to Rau m21 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c8.p126.i1439.sV252,,,,
kh,,suˀd,"wet, to be wet",,suˀd,,"pinnow1959versuch[p. 393, item 1120, set K531]",,Pinnow comparative set K531.,pinnow1959versuch:C:c1.p393.i1120.sK531,,,,pron 1pl
kh,m109,suˈruˀb atmen,"to breathe, to gargle",,suˈruˀb atmen,,"pinnow1959versuch[p. 165, item 1584, set V354]",,Pinnow comparative set V354. Linked to Rau m109 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c1.p165.i1584.sV354,,,,
gu,,suːr,to smell,,suːr,,"pinnow1959versuch[p. 255, item 412, set K315]",,Pinnow comparative set K315.,pinnow1959versuch:C:c8.p255.i412.sK315,,,,
gu,m61,sɑbbul,sweet,,sɑbbul,,"pinnow1959versuch[p. 128, item 1453, set V257]",,Pinnow comparative set V257. Linked to Rau m61 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c8.p128.i1453.sV257,,,,
gu,m61,subul,sweet,,subul,,"pinnow1959versuch[p. 128, item 1453, set V257]",,Pinnow comparative set V257. Linked to Rau m61 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c8.p128.i1453.sV257:v2,pinnow1959versuch:C:c8.p128.i1453.sV257,,,
kh,m87,sɑn,to go,,sɑn,,"pinnow1959versuch[p. 151, item 1514, set V300]",,Pinnow comparative set V300. Linked to Rau m87 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c1.p151.i1514.sV300,,,,
kh,m87,sʌn,to go,,sʌn,,"pinnow1959versuch[p. 151, item 1514, set V300]",,Pinnow comparative set V300. Linked to Rau m87 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c1.p151.i1514.sV300:v2,pinnow1959versuch:C:c1.p151.i1514.sV300,,,
so,,sɑn-ˈsɑːŋ-ən,"turmeric, yellow",,sɑn-ˈsɑːŋ-ən,,"pinnow1959versuch[p. 131, item 1470, set V271]",,Pinnow comparative set V271.,pinnow1959versuch:C:c3.p131.i1470.sV271,,,,
so,,sɑnˈsɑːŋ-ən,"turmeric, yellow",,sɑnˈsɑːŋ-ən,,"pinnow1959versuch[p. 131, item 1470, set V271]",,Pinnow comparative set V271.,pinnow1959versuch:C:c3.p131.i1470.sV271:v2,pinnow1959versuch:C:c3.p131.i1470.sV271,,,
kh,,sɑnɡɔˀɖ,to walk,,sɑnɡɔˀɖ,,"pinnow1959versuch[p. 345, item 870, set K489b]",,Pinnow comparative set K489b.,pinnow1959versuch:C:c1.p345.i870.sK489b,,,,
kh,,sɑt,truth,,sɑt,,"pinnow1959versuch[p. 222, item 228, set K193f]",,Pinnow comparative set K193f.,pinnow1959versuch:C:c1.p222.i228.sK193f,,,,
so,,sɑŋ-ən (C-F),door,,sɑŋ-ən (C-F),,"pinnow1959versuch[p. 130, item 1467-1, set V268]",,Pinnow comparative set V268.,pinnow1959versuch:C:c3.p130.i1467-1.sV268,,,,
gu,,sɑŋsɑŋ,turmeric,,sɑŋsɑŋ,,"pinnow1959versuch[p. 131, item 1470, set V271]",,Pinnow comparative set V271.,pinnow1959versuch:C:c8.p131.i1470.sV271,,,,
re,,sɑŋsɑŋ,turmeric,,sɑŋsɑŋ,,"pinnow1959versuch[p. 131, item 1470, set V271]",,Pinnow comparative set V271.,pinnow1959versuch:C:c10.p131.i1470.sV271,,,,
gu,,sɑŋɑːji,far,,sɑŋɑːji,,"pinnow1959versuch[p. 74, item 1202, set V40]",,Pinnow comparative set V40.,pinnow1959versuch:C:c8.p74.i1202.sV040,,,,
kh,,sɑˈrɔŋ,to groan,,sɑˈrɔŋ,,"pinnow1959versuch[p. 131, item 1472, set V273]",,Pinnow comparative set V273.,pinnow1959versuch:C:c1.p131.i1472.sV273,,,,
gu,,sɑːil,"wild buffalo, deer",,sɑːil,,"pinnow1959versuch[p. 241, item 288, set K240]",,Pinnow comparative set K240.,pinnow1959versuch:C:c8.p241.i288.sK240,,,,
so,m36,sɑːl-ən (C-F),"skin, leather",,sɑːl-ən (C-F),,"pinnow1959versuch[p. 98, item 1321-1, set V149]",,Pinnow comparative set V149. Linked to Rau m36 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p98.i1321-1.sV149,,,,
kh,m99,sɔ(ʔ)lɔi baɖke,coiffure,,sɔ(ʔ)lɔi baɖke,,"pinnow1959versuch[p. 96, item 1315-1, set V143]",,Pinnow comparative set V143. Linked to Rau m99 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c1.p96.i1315-1.sV143,,,,
kh,,sɔbrɛ dhabe,quickly,,sɔbrɛ dhabe,,"pinnow1959versuch[p. 310, item 705-1, set K453]",,Pinnow comparative set K453.,pinnow1959versuch:C:c1.p310.i705-1.sK453,,,,
kh,,sɔbrɛ dabe,quickly,,sɔbrɛ dabe,,"pinnow1959versuch[p. 310, item 705-1, set K453]",,Pinnow comparative set K453.,pinnow1959versuch:C:c1.p310.i705-1.sK453:v2,pinnow1959versuch:C:c1.p310.i705-1.sK453,,,
sa,m109,sɔrpɔˀd,"to sip, suck in",,sɔrpɔˀd,,"pinnow1959versuch[p. 165, item 1584-1, set V354]",,Pinnow comparative set V354. Linked to Rau m109 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p165.i1584-1.sV354,,,,
Birhor,,sɔsɔ,Marking Nut tree ({Sci.name} Semicarpus Anacardium),,sɔsɔ,,"pinnow1959versuch[p. 111, item 1379, set V203]",,Pinnow comparative set V203.,pinnow1959versuch:C:c7.p111.i1379.sV203,,,,
ho,,sɔsɔ,Marking Nut tree ({Sci.name} Semicarpus Anacardium),,sɔsɔ,,"pinnow1959versuch[p. 111, item 1379, set V203]",,Pinnow comparative set V203.,pinnow1959versuch:C:c6.p111.i1379.sV203,,,,
kh,,sɔsɔ,Marking Nut tree ({Sci.name} Semicarpus Anacardium),,sɔsɔ,,"pinnow1959versuch[p. 111, item 1379, set V203]",,Pinnow comparative set V203.,pinnow1959versuch:C:c1.p111.i1379.sV203,,,,
mu,,sɔsɔ,Marking Nut tree ({Sci.name} Semicarpus Anacardium),,sɔsɔ,,"pinnow1959versuch[p. 111, item 1379, set V203]",,Pinnow comparative set V203.,pinnow1959versuch:C:c4.p111.i1379.sV203,,,,
sa,,sɔsɔ,Marking Nut tree ({Sci.name} Semicarpus Anacardium),,sɔsɔ,,"pinnow1959versuch[p. 111, item 1379, set V203]",,Pinnow comparative set V203.,pinnow1959versuch:C:c2.p111.i1379.sV203,,,,
kh,,sɔŋ,to buy,,sɔŋ,,"pinnow1959versuch[p. 224, item 248, set K209]",,Pinnow comparative set K209.,pinnow1959versuch:C:c1.p224.i248.sK209,,,,
kh,m21,sɔŋˈɡɔl,"firewood, fuel",,sɔŋˈɡɔl,,"pinnow1959versuch[p. 126, item 1439, set V252]",,Pinnow comparative set V252. Linked to Rau m21 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c1.p126.i1439.sV252,,,,
kh,,sɔʔtɔ,"true, right, correct",,sɔʔtɔ,,"pinnow1959versuch[p. 222, item 228-3, set K193f]",,Pinnow comparative set K193f.,pinnow1959versuch:C:c1.p222.i228-3.sK193f,,,,
kh,,sɔʔtɔsɔʔtɔɡa,"truly, truly",,sɔʔtɔsɔʔtɔɡa,,"pinnow1959versuch[p. 222, item 228-2, set K193f]",,Pinnow comparative set K193f.,pinnow1959versuch:C:c1.p222.i228-2.sK193f,,,,
mu,,sɔˀdtɔ,true,,sɔˀdtɔ,,"pinnow1959versuch[p. 222, item 228-1, set K193f]",,Pinnow comparative set K193f.,pinnow1959versuch:C:c4.p222.i228-1.sK193f,,,,
kh,,sɔˀɖ,to mix with hand,,sɔˀɖ,,"pinnow1959versuch[p. 110, item 1375, set V199]",,Pinnow comparative set V199.,pinnow1959versuch:C:c1.p110.i1375.sV199,,,,
kh,,sɔˈlɔʔ,dog,,sɔˈlɔʔ,,"pinnow1959versuch[p. 112, item 1386, set V210]",,Pinnow comparative set V210.,pinnow1959versuch:C:c1.p112.i1386.sV210,,,,
kh,,ʃɔˈlɔʔ,dog,,ʃɔˈlɔʔ,,"pinnow1959versuch[p. 112, item 1386, set V210]",,Pinnow comparative set V210.,pinnow1959versuch:C:c1.p112.i1386.sV210:v2,pinnow1959versuch:C:c1.p112.i1386.sV210,,,
kh,m38,sɔˈmɔŋ,forehead,,sɔˈmɔŋ,,"pinnow1959versuch[p. 131, item 1468, set V269]",,Pinnow comparative set V269. Linked to Rau m38 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c1.p131.i1468.sV269,,,,
kh,,sɔˈnɔŋ,door,,sɔˈnɔŋ,,"pinnow1959versuch[p. 130, item 1467, set V268]",,Pinnow comparative set V268.,pinnow1959versuch:C:c1.p130.i1467.sV268,,,,
kh,m20,sɔˈrɛŋ,"rock, stone",,sɔˈrɛŋ,,"pinnow1959versuch[p. 105, item 1359, set V183]",,Pinnow comparative set V183. Linked to Rau m20 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c1.p105.i1359.sV183,,,,
sa,,səl,"the Indian Gaur ({Sci.name} Bos Gaurus, Gavaeus Gaurus)",,səl,,"pinnow1959versuch[p. 241, item 288, set K240]",,Pinnow comparative set K240.,pinnow1959versuch:C:c2.p241.i288.sK240,,,,
so,,səloː-n,woman,,səloː-n,,"pinnow1959versuch[p. 158, item 1550-1, set V330]",,Pinnow comparative set V330.,pinnow1959versuch:C:c3.p158.i1550-1.sV330,,,,
so,,səˑl-ən (C-F),woman,,səˑl-ən (C-F),,"pinnow1959versuch[p. 158, item 1550-1, set V330]",,Pinnow comparative set V330.,pinnow1959versuch:C:c3.p158.i1550-1.sV330:v2,pinnow1959versuch:C:c3.p158.i1550-1.sV330,,,
mu,,səŋɡin,"distance, distant, far away",,səŋɡin,,"pinnow1959versuch[p. 74, item 1202-3, set V40]",,Pinnow comparative set V40.,pinnow1959versuch:C:c4.p74.i1202-3.sV040,,,,
sa,,səŋɡiɲ,"distant, far away",,səŋɡiɲ,,"pinnow1959versuch[p. 74, item 1202, set V40]",,Pinnow comparative set V40.,pinnow1959versuch:C:c2.p74.i1202.sV040,,,,
so,,səˈnɑŋ-ən,door,,səˈnɑŋ-ən,,"pinnow1959versuch[p. 130, item 1467, set V268]",,Pinnow comparative set V268.,pinnow1959versuch:C:c3.p130.i1467.sV268,,,,
so,,sɑnɑŋ-ən,door,,sɑnɑŋ-ən,,"pinnow1959versuch[p. 130, item 1467, set V268]",,Pinnow comparative set V268.,pinnow1959versuch:C:c3.p130.i1467.sV268:v2,pinnow1959versuch:C:c3.p130.i1467.sV268,,,
so,m109,səˈrub,"to suck, sip",,səˈrub,,"pinnow1959versuch[p. 165, item 1584, set V354]",,Pinnow comparative set V354. Linked to Rau m109 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p165.i1584.sV354,,,,
sa,m65,sɛl-sɛl,"white, fair",,sɛl-sɛl,,"pinnow1959versuch[p. 127, item 1442-1, set V255]",,Pinnow comparative set V255. Linked to Rau m65 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p127.i1442-1.sV255,,,,
kh,m82,sɛlɔŋ,deep,,sɛlɔŋ,,"pinnow1959versuch[p. 161, item 1567, set V340]",,Pinnow comparative set V340. Linked to Rau m82 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c1.p161.i1567.sV340,,,,
kh,m82,sɛlhɔŋ,deep,,sɛlhɔŋ,,"pinnow1959versuch[p. 161, item 1567, set V340]",,Pinnow comparative set V340. Linked to Rau m82 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c1.p161.i1567.sV340:v2,pinnow1959versuch:C:c1.p161.i1567.sV340,,,
kh,m84,sɛlˈhɔˀb,deer,,sɛlˈhɔˀb,,"pinnow1959versuch[p. 120, item 1418, set V233]",,Pinnow comparative set V233. Linked to Rau m84 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c1.p120.i1418.sV233,,,,
sa,m87,sɛn,"to go, to obey, to follow one's wish or order",,sɛn,,"pinnow1959versuch[p. 151, item 1514, set V300]",,Pinnow comparative set V300. Linked to Rau m87 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p151.i1514.sV300,,,,
mu,m87,sɛn,to go,,sɛn,,"pinnow1959versuch[p. 151, item 1514, set V300]",,Pinnow comparative set V300. Linked to Rau m87 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p151.i1514.sV300,,,,
mu,,sɛndhaːbeme,to walk fast,,sɛndhaːbeme,,"pinnow1959versuch[p. 310, item 705-3, set K453]",,Pinnow comparative set K453.,pinnow1959versuch:C:c4.p310.i705-3.sK453,,,,
mu,m20,sɛrɛŋ,a large flat stone,,sɛrɛŋ,,"pinnow1959versuch[p. 105, item 1359, set V183]",,Pinnow comparative set V183. Linked to Rau m20 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p105.i1359.sV183,,,,
kh,,sɛŋ,"first, go first, advance, before",,sɛŋ,,"pinnow1959versuch[p. 102, item 1332, set V159]",,Pinnow comparative set V159.,pinnow1959versuch:C:c1.p102.i1332.sV159,,,,
sa,,sɛŋɡɛl ʈiʈi,the Guinea fowl,,sɛŋɡɛl ʈiʈi,,"pinnow1959versuch[p. 160, item 1560, set V336]",,Pinnow comparative set V336.,pinnow1959versuch:C:c2.p160.i1560.sV336,,,,
Mahali,m21,sɛŋɡɛl,fire,,sɛŋɡɛl,,"pinnow1959versuch[p. 126, item 1439, set V252]",,Pinnow comparative set V252. Linked to Rau m21 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c16.p126.i1439.sV252,,,,
mu,m21,sɛŋɡɛl,fire,,sɛŋɡɛl,,"pinnow1959versuch[p. 126, item 1439, set V252]",,Pinnow comparative set V252. Linked to Rau m21 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p126.i1439.sV252,,,,
sa,m21,sɛŋɡɛl,fire,,sɛŋɡɛl,,"pinnow1959versuch[p. 126, item 1439, set V252]",,Pinnow comparative set V252. Linked to Rau m21 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p126.i1439.sV252,,,,
